Year,HeadacheType,Country,StateProvince,AgeRangeLower,AgeRangeUpper,Ethnicity,Gender,Race,AffectedCount,AffectedMarginOfError,SoughtHelpCount,Source
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican-American,Male,Multiple race,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican-American,Male,White only,22,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Multiple Hispanic,Female,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Multiple Hispanic,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Female,AIAN only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Female,Asian only,7,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Female,Black/African American only,32,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Female,Multiple race,9,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Female,White only,82,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Male,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Male,Asian only,12,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Male,Black/African American only,29,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Male,Multiple race,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Not Hispanic/Spanish origin,Male,White only,100,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Other Spanish,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Other Spanish,Male,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Puerto Rico,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Puerto Rico,Female,White only,4,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Puerto Rico,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Central or South American,Female,White only,6,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Central or South American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Central or South American,Male,White only,5,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Cuban/Cuban American,Female,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Cuban/Cuban American,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Dominican (Republic),Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican,Female,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican,Female,White only,16,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican,Male,White only,19,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican-American,Female,White only,10,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican-American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican-American,Male,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Mexican-American,Male,White only,22,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Multiple Hispanic,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Female,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Female,Asian only,14,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Female,Black/African American only,32,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Female,Multiple race,9,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Female,White only,94,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Male,AIAN only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Male,Asian only,10,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Male,Black/African American only,22,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Male,Multiple race,8,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Not Hispanic/Spanish origin,Male,White only,105,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Other Latin American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Other Spanish,Male,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Puerto Rico,Female,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Puerto Rico,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Puerto Rico,Female,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,19,19,Puerto Rico,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Central or South American,Female,Asian only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Central or South American,Female,White only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Central or South American,Male,Black/African American only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Central or South American,Male,White only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Cuban/Cuban American,Female,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Cuban/Cuban American,Female,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Dominican (Republic),Female,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Dominican (Republic),Male,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican,Female,White only,18,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican,Male,White only,16,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican-American,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican-American,Female,White only,17,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican-American,Male,Asian only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican-American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Mexican-American,Male,White only,15,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Multiple Hispanic,Female,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Multiple Hispanic,Female,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Multiple Hispanic,Male,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,AIAN only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,Asian only,12,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,Black/African American only,30,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,Multiple race,7,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,Race group not releasable (See file layout),1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Female,White only,125,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Male,Asian only,14,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Male,Black/African American only,23,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Male,Multiple race,5,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Not Hispanic/Spanish origin,Male,White only,120,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Other Spanish,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Puerto Rico,Female,White only,4,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Puerto Rico,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,20,20,Puerto Rico,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Central or South American,Female,White only,6,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Central or South American,Male,White only,7,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Cuban/Cuban American,Female,White only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Cuban/Cuban American,Male,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Dominican (Republic),Female,White only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Dominican (Republic),Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Dominican (Republic),Male,White only,3,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican,Female,White only,21,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican,Male,AIAN only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican,Male,Asian only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican,Male,White only,12,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican-American,Female,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican-American,Female,White only,11,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican-American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Mexican-American,Male,White only,15,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Female,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Female,Asian only,21,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Female,Black/African American only,26,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Female,Multiple race,8,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Female,White only,137,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Male,AIAN only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Male,Asian only,17,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,21,21,Not Hispanic/Spanish origin,Male,Black/African American only,33,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
